"","sourceID","Source","Target","popularity","followers","id"
"105","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Fifth Harmony",87,1386302,"1l8Fu6IkuTP0U5QetQJ5Xt"
"106","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Selena Gomez",87,2410534,"0C8ZW7ezQVs4URX5aX7Kqx"
"107","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Hailee Steinfeld",75,210350,"5p7f24Rk5HkUZsaS3BLG5F"
"108","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Alessia Cara",79,478228,"2wUjUUtkb5lvLKcGKsKqsR"
"109","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Nathan Sykes",63,73259,"2Rf4X6m0oayCJhaJ5K63GQ"
"110","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Ariana Grande",89,4075807,"66CXWjxzNUsdJxJ2JdwvnR"
"111","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","ZAYN",82,925377,"5ZsFI1h6hIdQRw2ti0hz81"
"112","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Meghan Trainor",83,1481834,"6JL8zeS1NmiOftqZTRgdTz"
"113","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Rachel Platten",69,163939,"3QLIkT4rD2FMusaqmkepbq"
"114","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","One Direction",85,5293683,"4AK6F7OLvEQ5QYCBNiQWHq"
"115","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Little Mix",78,1113535,"3e7awlrlDSwF3iM0WBjGMp"
"116","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Troye Sivan",79,1118117,"3WGpXCj9YhhfX11TToZcXP"
"117","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","The Vamps",66,663062,"7gAppWoH7pcYmphCVTXkzs"
"118","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Daya",86,140152,"6Dd3NScHWwnW6obMFbl1BH"
